frameId;frame_main;frame_calib;frame_above;swimmerId;swimmerName;eventX;eventY;event;anno_type;custom_event;Temps (s);distance (m)
612;177;612;612;0;A;55.4278;15.541;track;interp;;10.21;55.4278
613;178;613;613;0;A;55.4278;15.541;track;interp;;10.23;55.4278
614;179;614;614;0;A;55.4278;15.541;track;interp;;10.24;55.4278
615;180;615;615;0;A;55.4278;15.541;track;interp;;10.26;55.4278
616;181;616;616;0;A;55.4278;15.541;track;interp;;10.28;55.4278
617;182;617;617;0;A;55.4278;15.541;track;interp;;10.29;55.4278
618;183;618;618;0;A;55.3767;15.5489;track;interp;;10.31;55.3767
619;184;619;619;0;A;55.3767;15.5489;track;interp;;10.33;55.3767
620;185;620;620;0;A;55.3767;15.5489;track;interp;;10.34;55.3767
621;186;621;621;0;A;55.3767;15.5489;track;interp;;10.36;55.3767
622;187;622;622;0;A;55.3767;15.5489;track;interp;;10.38;55.3767
623;188;623;623;0;A;55.3255;15.5567;track;interp;;10.39;55.3255
624;189;624;624;0;A;55.3255;15.5567;track;interp;;10.41;55.3255
625;190;625;625;0;A;55.3255;15.5567;track;interp;;10.43;55.3255
626;191;626;626;0;A;55.3255;15.5567;track;interp;;10.44;55.3255
627;192;627;627;0;A;55.3255;15.5567;track;interp;;10.46;55.3255
628;193;628;628;0;A;55.3255;15.5567;track;interp;;10.48;55.3255
629;194;629;629;0;A;55.441;15.6729;track;interp;;10.49;55.441
630;195;630;630;0;A;55.441;15.6729;track;interp;;10.51;55.441
631;196;631;631;0;A;55.441;15.6729;track;interp;;10.53;55.441
632;197;632;632;0;A;55.441;15.6729;track;interp;;10.54;55.441
633;198;633;633;0;A;55.441;15.6729;track;interp;;10.56;55.441
634;199;634;634;0;A;55.3897;15.6807;track;interp;;10.58;55.3897
635;200;635;635;0;A;55.3897;15.6807;track;interp;;10.59;55.3897
636;201;636;636;0;A;55.3897;15.6807;track;interp;;10.61;55.3897
637;202;637;637;0;A;55.3897;15.6807;track;interp;;10.63;55.3897
638;203;638;638;0;A;55.3897;15.6807;track;interp;;10.64;55.3897
639;204;639;639;0;A;55.3897;15.6807;track;interp;;10.66;55.3897
640;205;640;640;0;A;55.3383;15.6886;track;interp;;10.68;55.3383
641;206;641;641;0;A;55.3383;15.6886;track;interp;;10.69;55.3383
642;207;642;642;0;A;55.3383;15.6886;track;interp;;10.71;55.3383
643;208;643;643;0;A;55.3383;15.6886;track;interp;;10.73;55.3383
644;209;644;644;0;A;55.3383;15.6886;track;interp;;10.74;55.3383
645;210;645;645;0;A;55.4542;15.8055;track;interp;;10.76;55.4542
646;211;646;646;0;A;55.4542;15.8055;track;interp;;10.78;55.4542
647;212;647;647;0;A;55.4542;15.8055;track;interp;;10.79;55.4542
648;213;648;648;0;A;55.4542;15.8055;track;interp;;10.81;55.4542
649;214;649;649;0;A;55.4542;15.8055;track;interp;;10.83;55.4542
650;215;650;650;0;A;55.4542;15.8055;track;interp;;10.84;55.4542
651;216;651;651;0;A;55.4027;15.8134;track;interp;;10.86;55.4027
652;217;652;652;0;A;55.4027;15.8134;track;interp;;10.88;55.4027
653;218;653;653;0;A;55.4027;15.8134;track;interp;;10.89;55.4027
654;219;654;654;0;A;55.4027;15.8134;track;interp;;10.91;55.4027
655;220;655;655;0;A;55.4027;15.8134;track;interp;;10.93;55.4027
